date,description,category,amount
2022-10-07,Early among fill guy child.,Subscriptions,3333.97
2024-02-05,Enough like watch.,Subscriptions,3871.42
2022-09-11,Just area start.,Other,3601.6
2024-04-13,Indeed shoulder measure more.,Shopping,4549.74
2024-01-25,Or produce whom.,Subscriptions,868.31
2022-09-29,Then range friend total meet.,Food,68.61
2024-03-17,Bag follow night least then civil.,Personal Care,2263.3
2022-08-12,Difficult event employee gas color.,Entertainment,3046.19
2023-01-22,Down goal size beautiful wear about.,Food,186.0
2023-12-19,Teach option long.,Shopping,1265.3
2022-07-10,Shake dinner nothing international.,Entertainment,1259.08
2022-11-06,Factor born capital.,Subscriptions,410.78
2023-04-22,Look ever win.,Utilities,1555.2
2022-06-24,Commercial election a language history.,Utilities,4179.28
2022-05-29,Technology compare defense.,Transportation,4950.62
2022-12-20,Surface listen TV discover month far.,Other,3509.24
2024-01-10,I certainly us call.,Personal Care,1402.24
2023-01-27,Team recently speak nice.,Food,3181.42
2022-12-17,Half can rock.,Transportation,4680.91
2022-11-25,Tell firm relate.,Entertainment,1558.27
2023-03-06,Lawyer present blue.,Subscriptions,2137.34
2023-03-30,Difficult wide film.,Food,4413.97
2023-01-21,Food happy smile sign.,Entertainment,1858.43
2023-06-21,Nation international interview officer shoulder.,Billbox,4004.84
2024-02-29,Affect clear college cover pressure claim.,Subscriptions,2783.98
2023-06-23,Dream tough say.,Billbox,1897.23
2022-07-07,Without at wall really teacher field.,Utilities,1642.28
2023-10-12,New party and house large.,Billbox,3653.47
2022-12-10,Key character role mean newspaper.,Food,683.52
2023-02-02,Pay on off relate.,Subscriptions,3173.62
2022-11-17,Decision long Democrat west general challenge voice.,Shopping,1079.53
2024-02-07,Design loss them.,Other,977.04
2024-04-18,Beautiful those six every trade task.,Billbox,2063.58
2022-08-03,Although determine country rule.,Food,4907.69
2022-08-26,Happy and southern organization usually strong.,Shopping,1474.56
2022-08-01,Example raise blue house.,Billbox,730.27
2023-03-30,Phone sport story money.,Other,3935.7
2022-12-20,Born page to be important why.,Food,1783.89
2022-12-28,Above or interesting.,Shopping,4178.62
2022-11-19,Pressure term catch base clearly big.,Subscriptions,3947.69
2023-12-26,Many me expect defense specific.,Subscriptions,69.67
2023-02-09,Fish create section account.,Utilities,1106.14
2022-08-29,Study fast sign final mean.,Entertainment,1983.84
2023-03-13,Unit office condition every.,Entertainment,4592.01
2022-05-30,Add paper respond.,Billbox,3867.99
2022-11-30,Between according treatment pull bad agent.,Billbox,4500.86
2022-09-24,Best evidence line guess instead.,Other,1342.75
2024-03-16,Consumer lot north.,Subscriptions,2358.44
2023-03-06,Involve between manage.,Transportation,64.75
2023-05-19,Brother own think.,Other,3948.18
2023-08-08,Order can assume.,Shopping,3337.17
2022-12-16,Not son group assume reduce.,Subscriptions,3249.79
2024-04-20,Next relate father go pass.,Transportation,1330.79
2024-02-18,Voice whose girl team side war.,Subscriptions,3848.97
2024-03-31,Better several marriage.,Subscriptions,2019.57
2022-09-19,Foot citizen personal.,Shopping,1397.65
2023-04-22,Almost pretty fine always direction day.,Personal Care,2495.39
2022-11-13,But two community.,Utilities,4213.03
2024-04-10,Wide require pretty.,Subscriptions,2197.23
2023-11-20,Increase themselves just.,Billbox,4016.19
2024-02-10,Site check debate pass.,Subscriptions,1395.41
2023-02-25,Box seem hundred indicate young.,Food,3726.55
2022-09-26,Few probably during.,Shopping,1365.39
2023-12-24,Explain room court growth exactly movie.,Shopping,20.97
2023-12-17,Detail gas west.,Transportation,2524.61
2022-08-26,World go whether build leave turn.,Transportation,3767.73
2022-12-27,Reveal night class game another.,Food,1413.14
2022-10-11,Media trade month.,Shopping,2834.61
2023-03-01,Under walk manage.,Billbox,886.88
2023-11-14,On building remain half.,Personal Care,4101.62
2023-05-04,Manager traditional gun.,Entertainment,1433.74
2022-10-23,Here fear author drug happy.,Transportation,3473.14
2022-05-28,Should doctor question truth.,Other,4573.72
2024-01-28,Everybody mention general from institution strategy.,Billbox,2498.87
2023-10-23,Peace maybe better enjoy treatment above.,Transportation,953.79
2024-01-14,Station current edge one alone training.,Shopping,4411.11
2022-11-28,Box few could model down late.,Entertainment,1479.49
2024-04-11,Great rise start different.,Food,1631.56
2023-03-04,Send task trip organization discover player.,Entertainment,4934.15
2023-06-26,Until agent will you late now.,Subscriptions,3514.51
2023-05-21,Describe nice deal themselves let send.,Shopping,1741.13
2022-06-14,That hope easy generation.,Other,4942.69
2023-07-11,Great there Democrat church school figure.,Food,3938.87
2023-06-21,Meet man them across bit.,Shopping,4844.63
2023-12-19,Share thus lose.,Subscriptions,2644.81
2023-04-10,Cause half clearly religious five pull.,Shopping,373.84
2023-02-19,Your probably tree woman.,Shopping,459.39
2024-01-25,Best scene positive science.,Other,2445.87
2024-01-03,Real senior food plant.,Utilities,3348.22
2023-08-30,Focus short civil.,Subscriptions,443.33
2024-02-04,Down member house agree.,Personal Care,2187.01
2022-12-14,Would professor group national because response.,Entertainment,2195.59
2022-10-02,Might quickly word.,Transportation,2822.0
2023-01-03,Future lose growth sport.,Personal Care,20.18
2022-10-13,Turn edge plan challenge much race.,Billbox,1699.83
2022-12-07,Leave listen collection.,Other,1728.06
2023-06-04,Difficult other game if deal.,Personal Care,409.92
2023-01-02,But quality morning wall.,Subscriptions,1820.72
2022-07-10,Mean yet surface painting.,Shopping,3218.44
2023-12-07,Stuff debate plan together that.,Transportation,1355.04
2022-08-09,Head very road hot such.,Food,3270.43
2024-04-04,Affect enough kitchen.,Personal Care,4567.52
2023-11-25,Performance conference officer.,Entertainment,3037.22
2023-03-15,Research relationship bed court thousand series.,Other,2811.39
2023-12-13,Again group just environmental.,Food,2260.5
2023-01-04,Against Republican rock role senior hit.,Other,1233.01
2023-04-27,Message none force field name.,Other,2503.43
2022-07-16,Congress wear kid before well.,Utilities,3701.09
2024-05-03,Series feeling claim this much religious.,Personal Care,4330.14
2022-12-17,Same project sister use his.,Subscriptions,433.52
2023-07-07,News performance certain.,Shopping,2840.85
2023-08-16,Cell member find light specific.,Entertainment,4929.42
2023-11-15,Performance girl detail spend grow.,Subscriptions,3776.91
2022-05-15,Popular as focus street general teacher.,Subscriptions,1088.08
2023-10-02,Deep direction thus society hot.,Personal Care,614.99
2023-01-26,Successful strong building shake chance.,Shopping,517.87
2024-01-24,Three offer ask protect without network.,Shopping,826.8
2024-02-28,Hit property truth yourself.,Shopping,3053.36
2023-08-13,Agree here stock difference.,Subscriptions,269.55
2022-08-19,Camera ball plan lead.,Entertainment,397.49
2023-04-18,Republican lot generation way boy.,Transportation,2083.34
2022-08-09,Our room president.,Personal Care,2085.04
2022-06-10,Memory lawyer PM cost.,Food,1018.65
2024-02-05,Usually ask cut certainly others.,Shopping,1860.1
2023-02-15,When bad all front.,Entertainment,1483.05
2023-01-14,City cultural evening.,Personal Care,2218.97
2023-08-07,Thousand deep decide old audience course.,Subscriptions,4681.14
2023-09-19,Always together environment decision difficult point.,Food,3076.24
2023-05-26,Mission my trouble.,Other,4589.69
2024-02-23,Reach my drive represent draw prevent.,Transportation,857.73
2022-08-23,Language history analysis necessary government.,Billbox,3967.18
2022-12-05,Idea sort test.,Food,2035.78
2022-08-29,Military political produce coach.,Billbox,2590.88
2023-08-07,Want west leader reduce boy.,Billbox,4630.0
2022-12-14,Theory simply would cultural.,Utilities,1682.8
2023-10-01,Site rest organization age.,Shopping,3997.35
2023-07-25,Score he approach strong.,Shopping,140.43
2023-10-07,Son indeed everyone build lose.,Entertainment,2732.68
2022-07-08,Say cost whole organization garden.,Transportation,2286.23
2023-11-19,Other significant and late very.,Entertainment,3987.78
2023-04-07,Civil daughter man somebody add.,Personal Care,2507.85
2023-09-15,Crime avoid teach first because.,Entertainment,404.7
2023-08-07,More process four.,Shopping,2157.49
2023-04-24,Stuff hundred usually try.,Utilities,545.0
2023-06-07,Mouth better idea but woman every.,Food,483.42
2022-08-24,Man near commercial heavy skin.,Billbox,642.21
2024-03-26,Soon able around bank whatever.,Personal Care,3563.61
2024-03-17,Movement both head deep.,Transportation,4280.06
2022-10-31,Boy which coach require.,Shopping,81.17
2023-12-22,Star threat could he professional window.,Food,4498.36
2023-11-07,Already will early camera price.,Billbox,3993.45
2023-08-23,Arm put doctor later drug common.,Personal Care,2741.31
2023-08-13,Traditional suddenly energy.,Entertainment,4894.92
2023-03-21,Box under commercial five already final.,Other,4047.31
2023-03-27,Clearly other church.,Utilities,567.43
2024-02-24,Expert truth fight what.,Entertainment,3640.71
2024-02-13,Reality modern eight picture.,Other,2081.83
2023-07-29,Fill seven agent painting look.,Transportation,2869.0
2022-10-04,Best role serious.,Transportation,2472.03
2022-11-10,Attack reflect seek avoid.,Personal Care,2757.57
2023-09-02,Produce watch deal share somebody girl.,Shopping,1441.86
2024-01-17,Upon quality popular body.,Other,1202.86
2022-10-19,Loss coach message everything manager before.,Entertainment,3355.14
2024-03-17,Could reflect visit.,Utilities,4497.79
2023-04-27,Type sound must.,Food,2452.4
2023-02-08,Alone exist travel provide deal now.,Food,4286.2
2023-10-27,Right world television charge.,Shopping,2580.46
2024-01-10,Office that first goal.,Other,4394.58
2023-02-10,Cause money under dream.,Transportation,840.54
2022-10-02,Rock world sell.,Transportation,1808.73
2022-12-02,Into pretty scene development.,Entertainment,1673.12
2023-02-21,Have best cold population career.,Subscriptions,4252.7
2022-08-31,Serve office minute.,Shopping,325.71
2022-09-08,Company arrive class ten go spend.,Billbox,3324.73
2022-09-19,Sea man cup people begin.,Entertainment,800.35
2022-07-18,Magazine woman chair personal.,Entertainment,4726.02
2022-12-12,Question almost full concern.,Entertainment,1831.58
2023-05-24,Grow today other.,Personal Care,3754.83
2023-04-19,Great degree pretty treat hear.,Food,2828.29
2024-01-15,Certain government always major will.,Personal Care,3436.25
2023-11-14,Sell price over thus.,Transportation,98.66
2023-09-04,Term short through produce study southern during.,Entertainment,1578.98
2023-08-24,Air window month reduce.,Transportation,4537.29
2022-11-25,Car continue green economic teacher.,Food,3703.47
2023-12-22,Manager believe teacher such government.,Utilities,3969.2
2022-10-19,Off until seven involve decide news.,Other,116.41
2023-06-23,Administration mouth cultural.,Personal Care,2288.08
2023-01-23,Church man help town.,Billbox,2908.34
2023-08-02,Include far send operation.,Transportation,2859.36
2023-07-05,Game interview number.,Other,1744.56
2023-10-03,Among note coach.,Personal Care,388.75
2022-10-31,Child world activity month.,Subscriptions,3515.6
2023-07-09,Little school recent management.,Utilities,4504.54
2023-03-30,Style behind build.,Food,372.81
2024-03-05,Allow first manage while land alone.,Other,4286.43
2022-12-09,Clearly direction why.,Subscriptions,4973.74
2022-08-24,Serve send Republican every.,Subscriptions,1309.99
2024-03-12,Write room total something.,Utilities,4924.94
2023-09-10,Back successful computer pretty skin.,Transportation,1867.82
2023-02-13,Remain whether rest cause far.,Food,2622.38
2023-05-01,Possible put range hear left choice.,Food,985.0
2024-04-27,Area control view western toward.,Shopping,4548.43
2023-12-21,Check agreement event author including.,Billbox,4713.35
2022-09-17,Exactly through case hard total.,Entertainment,901.93
2022-06-19,A local respond later mother own.,Transportation,2185.53
2023-02-09,Body adult like talk or.,Transportation,46.99
2022-10-27,Ago baby fire ever dinner begin.,Shopping,2135.87
2024-01-15,Century respond by then speech result.,Personal Care,2081.66
2024-04-13,Leave do fish carry under.,Shopping,3462.75
2023-03-28,Bit might bed themselves culture individual.,Utilities,829.77
2023-11-25,Manage air dark somebody.,Personal Care,3386.24
2024-05-05,All follow physical much.,Utilities,3241.43
2023-01-19,Truth hard should system.,Billbox,3922.27
2022-06-13,Lead box join politics challenge want.,Transportation,966.23
2024-01-16,First green reality.,Shopping,3620.77
2022-11-08,Yet economic evening.,Entertainment,1861.6
2024-03-09,Set college indeed both charge.,Billbox,2837.81
2023-04-27,Pull market many.,Entertainment,4583.24
2024-04-10,Ten whole price.,Entertainment,1531.44
2022-06-01,Food sure career whatever rock.,Transportation,979.82
2023-11-01,Hospital table clearly rule offer growth.,Utilities,2082.82
2023-03-18,School performance current box space story.,Shopping,2450.03
2023-06-03,Type ready sister institution.,Personal Care,4213.56
2023-03-25,Near share ready issue always.,Shopping,1116.9
2022-07-23,Relate across less camera.,Billbox,1050.92
2023-11-24,Some item process court behind.,Other,1710.83
2022-10-25,Over feeling identify thousand quality front.,Shopping,4167.23
2023-03-31,Industry rate over spend.,Food,3225.54
2023-10-30,Believe doctor century stock exist.,Billbox,3873.98
2022-06-25,Method look method large order than question.,Utilities,4554.51
2023-03-02,Take have election.,Other,3097.09
2023-11-28,Particular away report.,Transportation,416.74
2023-09-05,Eye yes determine air go peace.,Transportation,4977.81
2024-01-02,Movie common officer number.,Personal Care,4511.1
2023-02-11,Learn through stage player.,Subscriptions,895.58
2024-01-19,Sport loss clearly blood.,Subscriptions,585.68
2023-08-11,Themselves significant opportunity.,Food,265.04
2023-03-29,Generation end meet tax.,Food,1583.38
2022-10-09,National seat police member pressure not.,Personal Care,916.85
2022-11-12,Society himself participant themselves machine.,Transportation,2684.67
2024-03-05,Ten sound news across clear return offer.,Utilities,2127.94
2023-09-13,Close significant growth.,Transportation,3229.68
2022-06-20,Language rich deal story land appear.,Personal Care,2741.27
2024-01-03,Necessary score within brother.,Billbox,3436.03
2024-05-01,Health most she north.,Food,4095.95
2023-08-05,Can break fight.,Food,3793.58
2023-07-06,Near both yeah anyone.,Billbox,76.66
2022-05-19,Against number eat at everybody.,Billbox,215.19
2022-09-20,Student Democrat employee card.,Subscriptions,3365.31
2023-03-06,Least improve would meet Mrs.,Food,3088.33
2024-02-05,Happy baby hundred.,Subscriptions,1741.53
2022-08-13,Behind worry college.,Transportation,1548.03
2023-11-25,Yeah record sit.,Food,1611.18
2023-05-22,Number which always act choose.,Personal Care,4742.0
2023-05-06,Perform whatever structure late blue.,Utilities,3317.64
2022-10-12,New last push teach have write.,Shopping,372.46
2022-11-23,Different movie glass affect trade senior.,Other,3445.09
2023-12-25,Study performance through individual tell.,Utilities,3997.97
2022-11-28,Room itself themselves.,Utilities,3669.14
2022-12-18,Long morning design or example.,Transportation,4720.68
2023-07-06,Change wind travel.,Subscriptions,706.9
2023-07-31,Reach above result ground.,Subscriptions,889.54
2023-08-10,Various as or out travel eight.,Shopping,2672.54
2022-12-09,Traditional good east similar shoulder create theory.,Transportation,2985.96
2023-06-08,A summer phone describe.,Personal Care,4102.15
2024-01-22,Prevent expect official ball yes.,Transportation,3020.36
2022-12-19,Drug available guess.,Entertainment,4805.76
2022-12-20,Amount tax last east born sort.,Transportation,2500.04
2023-04-03,Media among until hair.,Food,1730.4
2022-08-30,Raise together art maybe.,Transportation,1181.27
2023-12-19,Long administration develop huge.,Other,1681.93
2023-07-25,Current what rate wear.,Food,2603.62
2023-11-16,Run social activity.,Entertainment,1183.81
2023-09-01,Evidence pretty according.,Food,2533.17
2022-11-12,Commercial open authority life against.,Other,4862.82
2022-09-08,Resource describe day how course.,Other,363.49
2023-08-08,Between tonight physical great agreement.,Other,176.16
2023-10-07,Down major none people lawyer.,Transportation,148.18
2023-01-30,Fight building meet effect protect.,Other,3466.96
2024-02-12,Effort training end evidence politics good itself.,Utilities,2892.35
2022-06-19,Hear chance produce third man often.,Transportation,3597.23
2022-12-18,Professional dog bill side.,Entertainment,2078.9
2023-12-14,Task send son exactly.,Billbox,2994.85
2022-05-24,Instead beautiful include.,Personal Care,901.94
2023-06-15,Full across notice public.,Shopping,2570.11
2024-02-23,Court describe opportunity record example.,Other,1912.81
2022-11-01,Mention art late couple win.,Personal Care,2313.2
2024-01-10,Minute thought image major mission college.,Entertainment,3171.53
2022-11-16,College operation part film.,Utilities,145.5
2023-04-15,Find artist nor.,Shopping,977.12
2022-12-21,Father strong wish season mention must.,Shopping,1095.41
2022-05-25,Course environment many religious commercial.,Other,4411.28
2024-03-26,Inside across month note reflect admit.,Personal Care,3704.07
2022-06-01,Majority increase believe late party.,Billbox,2589.26
2023-10-28,Sport little little stay worker.,Shopping,3370.39
2022-07-01,Ahead such late.,Entertainment,4065.81
2023-11-21,Way read collection from task.,Food,1947.03
2022-11-27,Both head will especially parent.,Personal Care,4586.33
2023-02-14,High art loss.,Food,1577.48
2022-08-02,Nor bag hope again.,Food,3982.62
2023-11-16,Life this human.,Billbox,61.85
2024-01-30,Beyond tell account himself drive.,Personal Care,979.73
2022-12-11,Eight day choice how section population.,Food,1133.42
2023-01-22,Lead religious stop article reflect contain.,Food,527.35
2022-06-29,Memory make identify.,Billbox,3474.05
2022-09-20,Late seek no exactly edge human.,Shopping,808.47
2023-02-01,Fly catch machine Democrat common.,Utilities,4883.14
2023-12-19,Our station let.,Food,2776.91
2024-03-29,Though use staff alone.,Food,2587.16
2024-01-24,Particularly official nice.,Subscriptions,2276.67
2022-06-05,Blue management purpose the research resource.,Shopping,4141.1
2022-05-07,Middle return true defense ability old side.,Entertainment,846.6
2023-01-23,Administration street party red.,Utilities,2103.84
2023-10-28,Activity spend event think region.,Personal Care,1456.21
2023-09-06,Increase serious speech newspaper although.,Shopping,708.63
2023-09-27,Can order open nature.,Transportation,4660.79
2023-01-11,Question reality each court.,Entertainment,2880.44
2023-05-26,Treatment much water wind choose.,Personal Care,2992.13
2023-04-16,Win base while method design third.,Transportation,903.21
2023-07-25,Right suffer camera.,Entertainment,1033.57
2023-11-11,Building key option.,Food,1402.2
2024-01-25,Someone American news include thank value.,Personal Care,1442.45
2023-09-23,Whatever coach girl.,Other,4760.96
2023-06-26,Better three million federal.,Transportation,4544.92
2022-09-04,Chair public career arrive coach glass.,Billbox,2607.65
2024-03-22,Box drive mention enjoy.,Subscriptions,439.24
2024-03-06,Sense likely car successful.,Subscriptions,2363.11
2023-07-31,Skin miss his building inside.,Shopping,4815.11
2022-08-27,Why art than.,Personal Care,1709.14
2022-06-20,Against thousand matter.,Personal Care,4732.48
2022-11-02,Finally sport dinner nature live.,Entertainment,1287.4
2022-09-30,Person including me consider.,Personal Care,71.94
2023-07-31,Effort voice finish former.,Food,4849.66
2023-08-08,Shake think easy worker.,Transportation,4325.32
2024-03-13,Author kind keep red.,Utilities,353.69
2023-06-07,Nice billion wonder firm particularly.,Other,3900.68
2023-02-03,Answer with second.,Shopping,1794.71
2023-08-12,Business usually some view ready generation.,Subscriptions,2247.39
2022-12-19,Write sing notice clear room of.,Billbox,4785.37
2023-09-29,Chair likely bad.,Other,2318.08
2024-05-02,Interesting much shake.,Other,170.74
2024-03-28,Expect east page.,Entertainment,4063.56
2022-07-18,Yet way similar cause.,Shopping,418.44
2024-04-24,Require up pick lot ground.,Transportation,1543.65
2023-01-12,Day anything seat.,Billbox,1426.65
2023-08-18,Material action book exist people.,Food,2190.58
2024-03-19,Drop believe finish.,Subscriptions,2682.17
2023-07-11,Because reason voice ground.,Personal Care,3053.8
2022-12-31,Cell help least.,Subscriptions,3402.16
2022-12-21,Job manage sound tell.,Entertainment,2830.41
2022-12-30,Material happy again smile wife possible.,Shopping,1267.42
2024-03-29,Officer fall mention special maintain.,Food,2417.42
2023-07-25,Science president money morning since.,Shopping,444.16
2023-05-21,Range ok spring generation trial low.,Food,1225.42
2022-12-11,Environmental improve treatment.,Shopping,4791.67
2023-11-13,Citizen capital this laugh red.,Subscriptions,1239.37
2022-08-23,Both newspaper charge again.,Shopping,493.85
2023-03-02,Note near sound.,Utilities,2462.67
2023-01-10,Ahead certainly later wonder sell sit.,Billbox,1103.41
2023-01-12,Investment open follow offer likely technology.,Shopping,4972.83
2023-11-08,No listen section cut.,Subscriptions,2019.84
2023-03-15,Up when break.,Transportation,127.18
2023-12-20,Opportunity tell attack set fish.,Other,255.67
2023-11-16,Certainly step word.,Entertainment,2542.67
2023-09-05,Another support student always score.,Subscriptions,2193.44
2023-06-19,Officer black seven also.,Personal Care,4696.8
2023-09-30,Smile answer trade write.,Billbox,1855.52
2024-03-01,Least standard decade.,Utilities,4708.99
2023-09-20,Year blue benefit capital sport.,Billbox,4122.76
2022-09-13,Many far pretty item foreign.,Utilities,2575.21
2023-09-02,Dream home student.,Billbox,2067.47
2022-05-16,Science style offer woman international fly.,Subscriptions,2995.07
2024-01-24,Let police result nation guy.,Subscriptions,4216.52
